Id,title,artist,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
454,Pump It,The Black Eyed Peas,2005,154,93,65,-3,75,74,213,1,18,72
455,"Circle of Life - From ""The Lion King""/Soundtrack Version",Elton John,1994,161,39,30,-15,11,14,292,26,3,59
456,We Are The Champions - Remastered 2011,Queen,1977,64,46,27,-7,12,18,179,38,3,76
457,Insomnia - Radio Edit,Faithless,2010,127,92,71,-9,37,53,216,6,4,50
458,This Eve of Parting,John Hartford,2018,115,46,56,-12,21,34,153,18,3,44
459,You Keep Me Hangin On,Kim Wilde,1986,123,68,69,-12,14,71,255,8,3,60
460,Mandy,Barry Manilow,1974,104,46,31,-9,14,32,213,42,3,69
461,Collette,Billy Fury,1982,155,44,55,-10,10,73,112,82,4,27
462,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,2016,116,50,58,-7,13,11,206,20,3,74
463,Highway to Hell,AC/DC,1979,116,91,57,-5,16,42,208,6,13,83
464,In The Still Of The Night,The Five Satins,2010,110,32,44,-10,11,20,184,88,4,44
465,Umbrella,Rihanna,2008,174,83,58,-5,4,57,276,1,13,80
466,Don't Break The Heart That Loves You,Connie Francis,1996,73,41,39,-6,20,20,182,82,3,37
467,You Are Everything,Diana Ross,1973,150,53,52,-10,14,50,190,3,5,56
468,Release Me,Agnes,2009,128,92,62,-3,11,72,256,1,3,65
469,Rock You Like a Hurricane,Scorpions,2017,124,83,58,-6,32,67,254,0,4,61
470,Back In The U.S.S.R. - Remastered 2009,The Beatles,1968,142,97,48,-7,6,49,163,7,9,66
471,Everytime We Touch - Radio Edit,Cascada,2011,142,98,64,-5,37,49,199,0,6,64
472,Smack That,Akon,2006,119,74,94,-5,9,93,212,32,5,73
473,Right Round,Flo Rida,2009,125,67,72,-7,23,71,205,1,6,72
474,You're The One That I Want - From â€œGreaseâ€,John Travolta,1978,107,61,76,-11,10,82,170,28,6,74
475,Brown Eyed Handsome Man,Buddy Holly,1963,95,97,59,-7,9,86,125,4,9,43
476,Put Your Head On My Shoulder,Paul Anka,2000,116,34,55,-9,10,47,155,75,3,72
477,I've Grown Accustomed To Her Face - Remastered/1998,Dean Martin,1960,79,12,57,-16,11,34,163,79,6,47
478,Ringo,Lorne Greene,1964,111,52,56,-13,22,65,214,86,31,43
479,Slave To Love,Bryan Ferry,1985,148,82,66,-6,5,79,266,18,3,66
480,Encore Une Fois - Future Breeze Edit,Sash!,1997,133,93,66,-7,19,84,221,1,4,62
481,I'd Really Love to See You Tonight - 2012 Collection Remaster,England Dan,2012,119,77,58,-5,17,67,158,20,3,50
482,Only Sixteen - 2004 Remaster,Craig Douglas,2008,114,55,65,-10,36,59,136,63,4,29
483,Miami,Will Smith,1997,108,53,88,-6,4,89,198,3,15,68
484,No Air (feat. Chris Brown),Jordin Sparks,2007,160,76,47,-5,6,33,264,5,20,73
485,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1961,123,43,81,-12,2,96,144,55,9,54
486,I Want To Break Free - Remastered 2011,Queen,1984,109,41,88,-11,12,78,199,8,4,70
487,Incomplete,Sisqo,1999,119,44,75,-8,14,27,274,28,8,62
488,Holiday,Madonna,1983,118,70,81,-9,5,73,232,3,5,58
489,Forgot About Dre,Dr. Dre,1999,134,74,92,-1,16,62,222,8,8,71
490,Because Of You,Ne-Yo,2007,110,54,81,-6,10,83,267,53,4,72
491,The Way We Were,Barbra Streisand,1974,138,32,26,-12,13,17,211,89,3,60
492,Sandstorm,Darude,2000,136,97,53,-8,8,59,225,14,5,70
493,Come and Get Your Love,Redbone,2003,106,79,67,-6,8,85,300,13,5,56
494,Didn't We Almost Have It All,Whitney Houston,1987,131,49,54,-10,14,34,305,42,3,63
495,Suite: Judy Blue Eyes - Remastered,Crosby Stills & Nash,1969,154,36,45,-13,20,30,444,47,4,66
496,Is This Love - 2017 Remaster,Whitesnake,1987,180,79,33,-7,12,53,285,11,4,60
497,Red Rubber Ball,The Cyrkle,2002,92,52,61,-10,9,79,139,43,3,39
498,Hot Burrito #1,The Flying Burrito Brothers,1969,157,43,40,-13,17,35,217,1,3,46
499,The Sun Ain't Gonna Shine Anymore,The Walker Brothers,1998,111,68,38,-7,24,43,195,22,4,52
500,Don't Stop Me Now - 2011 Mix,Queen,1978,156,87,56,-5,78,61,209,5,17,82
501,Juicy - 2007 Remaster,The Notorious B.I.G.,2007,96,82,87,-5,15,79,301,48,26,62
502,Always See Your Face,Love,1969,110,58,57,-13,6,92,209,38,3,58
503,Run To You,Bryan Adams,1984,127,81,56,-6,29,64,233,1,3,65
504,Here Comes the Night,Them,2015,99,58,64,-9,16,96,167,44,3,50
505,Tiny Dancer,Elton John,1971,145,43,41,-11,15,28,377,38,3,79
506,Wonderful Life,Black,1987,106,52,72,-12,21,82,288,71,3,64
507,If I Give My Heart to You (with The Mellomen) - 78rpm Version,Doris Day,1945,77,6,50,-16,10,33,169,97,5,52
508,Right Here Waiting,Richard Marx,1989,178,25,40,-14,10,13,264,80,3,75
509,9 to 5,Dolly Parton,1980,105,78,55,-6,63,81,162,42,5,76
510,Smoke On The Water - Remastered 2012,Deep Purple,1972,114,68,60,-9,11,81,341,13,3,75
511,A Teenager In Love,Dion & The Belmonts,1959,79,38,56,-9,13,62,158,67,3,60
512,It Wasn't Me,Shaggy,2000,95,61,85,-5,31,65,228,6,7,76
513,So Much In Love,The Tymes,1963,76,49,55,-10,45,44,140,79,3,45
514,Biggest Part of Me,Ambrosia,1980,153,72,50,-8,35,88,324,24,5,63
515,Guilty (feat. Barry Gibb),Barbra Streisand,1980,151,43,63,-16,11,95,264,23,4,67
516,3AM,Matchbox Twenty,1996,108,67,52,-9,12,54,226,1,3,68
517,The Best - Edit,Tina Turner,1991,104,83,68,-6,21,82,250,1,3,71
518,Numb / Encore,JAY-Z,2004,107,80,69,-4,55,80,205,6,16,71
519,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,1998,128,97,82,-11,39,77,284,26,6,64
521,"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,1976,114,30,34,-11,9,19,185,93,3,65
522,Super Trouper,ABBA,1980,118,63,76,-8,20,96,253,46,3,70
523,Astral Weeks - 1999 Remaster,Van Morrison,1968,81,35,45,-15,14,61,426,54,3,58
524,In My Head,Jason Derulo,2010,110,75,76,-4,35,85,199,3,3,69
