Id,title,artist,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top genre
1,My Happiness,Connie Francis,1996,107,31,45,-8,13,28,150,75,3,44,adult standards
2,Unchained Melody,The Teddy Bears,2011,114,44,53,-8,13,47,139,49,3,37,
3,How Deep Is Your Love,Bee Gees,1979,105,36,63,-9,13,67,245,11,3,77,adult standards
4,Woman in Love,Barbra Streisand,1980,170,28,47,-16,13,33,232,25,3,67,adult standards
5,Goodbye Yellow Brick Road - Remastered 2014,Elton John,1973,121,47,56,-8,15,40,193,45,3,63,glam rock
6,Grenade,Bruno Mars,2010,110,56,71,-7,12,23,223,15,6,74,pop
7,No Time,The Guess Who,1971,128,48,48,-14,5,12,219,8,6,44,album rock
8,End Of The Road,Boyz II Men,1991,150,43,64,-9,6,53,351,7,2,71,boy band
9,Someone Elses Roses,Joan Regan,2019,100,14,29,-10,15,32,143,89,3,34,
10,You Belong to My Heart,Timi Yuro,2013,108,39,46,-10,16,50,126,82,3,35,adult standards
11,All Rise,Blue,2001,98,74,72,-3,17,93,224,12,3,63,boy band
12,Nikita,Elton John,1985,87,66,63,-9,7,75,343,12,3,68,glam rock
13,Laugh Laugh,The Beau Brummels,2006,129,68,49,-9,10,75,177,30,5,30,brill building pop
14,What Do You Want,Adam Faith,1989,147,37,55,-9,24,85,98,84,4,35,brill building pop
15,Hey! Baby - Remastered,Bruce Channel,2017,64,62,52,-6,27,64,144,36,4,60,rock-and-roll
16,Cry Like a Baby,The Box Tops,1968,133,47,67,-12,50,77,152,34,3,40,brill building pop
17,One of These Days,Emmylou Harris,1975,125,39,66,-9,12,68,184,45,3,46,country rock
18,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",C̩line Dion,1992,77,40,46,-10,13,12,249,64,3,65,canadian pop
19,Heart Full of Soul,The Yardbirds,2002,141,67,49,-10,5,70,148,23,4,62,album rock
20,So Sick,Ne-Yo,2006,93,57,45,-8,19,58,207,25,31,77,dance pop
21,Love Of My Life - Remastered 2011,Queen,1975,154,18,33,-12,12,26,217,93,3,74,glam rock
22,Glory of Love,Peter Cetera,1986,145,59,52,-8,31,31,258,8,3,71,adult standards
23,Fading Like a Flower (Every Time You Leave),Roxette,1991,105,67,61,-6,22,32,231,20,3,64,europop
24,Stay Another Day,East 17,1994,128,49,52,-8,19,44,267,58,3,63,boy band
25,Black Christ of the Andes (St. Martin de Porres),Mary Lou Williams,1964,89,7,20,-20,13,6,400,98,3,42,bebop
26,Dancing with Tears in My Eyes,Ultravox,1984,144,91,59,-8,60,93,244,15,4,59,art rock
27,Drinks On The House,Green Martini Keys,2016,97,16,57,-16,11,15,181,100,5,28,
28,Rock Your Baby,George McCrae,2001,104,77,59,-11,7,95,201,31,4,55,disco
29,I Walk on Guilded Splinters,Dr. John,1968,90,29,65,-19,9,71,466,56,8,48,blues
30,Pour Some Sugar On Me - Remastered 2017,Def Leppard,1987,85,95,27,-5,28,57,267,0,10,74,album rock
31,Party In The U.S.A.,Miley Cyrus,2009,96,70,65,-5,9,47,202,0,4,78,dance pop
32,Always Be My Baby,Mariah Carey,1995,79,53,65,-8,25,49,258,46,4,73,dance pop
33,I Will Survive - Extended Version,Gloria Gaynor,2019,116,85,76,-5,27,59,197,6,5,61,disco
34,Hate That I Love You,Rihanna,2008,94,73,64,-5,10,73,219,32,9,71,barbadian pop
35,Can't Help Falling in Love,Elvis Presley,1961,100,29,40,-14,11,34,182,94,3,78,adult standards
36,Ninety-Nine Ways,Tab Hunter,2000,125,33,59,-10,9,68,108,87,3,30,deep adult standards
37,Angel of Mine - Radio Mix,Monica,1998,90,56,59,-7,22,21,250,0,2,66,dance pop
38,Telegram Sam,T. Rex,1972,123,94,52,-4,9,44,226,2,12,40,album rock
39,Apologize,Timbaland,2007,118,60,66,-6,10,8,184,4,3,70,dance pop
40,Voulez-Vous,ABBA,1979,127,77,71,-7,17,90,309,15,4,63,europop
41,The Boss,Diana Ross,1979,124,91,64,-4,21,83,241,24,5,57,adult standards
42,"Because You Loved Me (Theme from ""Up Close and Personal"")",C̩line Dion,1996,120,47,61,-10,10,18,274,31,3,74,canadian pop
43,Take Good Care Of My Baby - 1990 Remastered,Bobby Vee,2011,82,43,49,-12,12,66,151,70,6,60,adult standards
44,Say My Name,Destiny's Child,1999,67,68,52,-4,13,75,271,27,16,67,dance pop
45,Free - Mood II Swing Radio Edit,Ultra Nat̩,1997,125,92,76,-6,4,74,233,0,4,60,deep house
46,Lady Writer,Dire Straits,1979,148,81,63,-9,7,96,225,10,3,61,album rock
47,Take Good Care Of My Baby - 1990 Remastered,Bobby Vee,2011,82,43,49,-12,12,66,151,70,6,60,adult standards
48,Crank That (Soulja Boy),Soulja Boy,2007,140,74,74,-2,5,80,222,52,8,76,atl hip hop
49,Smalltown Boy,Bronski Beat,1984,135,58,69,-11,12,94,302,29,3,71,dance rock
50,Fireflies,Owl City,2009,180,66,51,-7,12,46,228,3,4,78,pop
51,Show Me Love,Robin S,2017,120,72,82,-6,8,56,254,1,13,53,disco house
52,Get A Way,Maxx,1994,133,86,85,-10,5,60,227,3,4,60,bubblegum dance
53,Now That We Found Love,The O'Jays,1973,114,65,72,-8,27,96,281,25,4,59,classic soul
54,Hard Habit to Break - 2006 Remaster,Chicago,1984,81,61,58,-6,17,40,284,45,3,61,adult standards
55,Hysteria,Def Leppard,1987,107,85,66,-6,20,66,355,3,3,68,album rock
56,It All Depends on You,Craig Douglas,1993,147,32,53,-10,17,73,127,87,7,37,brill building pop
57,Reelin' In The Years,Steely Dan,1972,135,76,52,-10,11,71,275,12,4,70,album rock
58,Butterfingers,Tommy Steele,2000,75,14,52,-14,14,26,135,70,3,30,classic uk pop
59,Self Control,Laura Branigan,1984,107,69,81,-12,16,78,246,22,3,70,dance rock
60,Hypnotize - 2007 Remaster,The Notorious B.I.G.,2007,94,69,90,-4,29,63,230,18,28,68,east coast hip hop
61,End Of The Line,Traveling Wilburys,1988,167,84,58,-7,6,93,210,16,5,67,album rock
62,Living Next Door to Alice,Smokie,1975,126,40,59,-15,25,78,208,11,4,56,classic uk pop
63,I Gotta Feeling,The Black Eyed Peas,2009,128,77,74,-6,51,61,289,9,3,77,dance pop
64,Sh-Boom - Single Version,The Chords,2007,137,47,67,-9,27,91,144,85,5,52,doo-wop
65,Your Song,Elton John,1990,128,33,55,-11,11,30,241,78,3,66,glam rock
66,Pony,Ginuwine,1999,142,61,75,-9,12,97,252,0,9,72,dance pop
67,Let's Get Loud,Jennifer Lopez,1999,131,94,82,-5,35,91,239,14,6,69,dance pop
68,Baretta's Theme,Sammy Davis Jr.,2002,105,91,64,-8,28,69,146,35,6,48,adult standards
69,Let's Fall in Love,James Darren,2014,128,29,51,-11,8,58,128,78,4,39,adult standards
70,No Scrubs,TLC,1999,93,68,74,-4,7,59,214,3,10,79,atl hip hop
71,Take Me Home Country Roads,John Denver,1971,82,40,46,-9,12,63,190,76,3,70,adult standards
72,Mr. Blue Sky,Electric Light Orchestra,1977,178,34,39,-10,25,48,303,65,3,79,album rock
73,Pachuko Hop,Ike Carpenter Orchestra,2006,83,53,48,-9,34,80,135,59,3,28,
74,Crying,Roy Orbison,2017,97,47,23,-6,32,21,179,57,3,49,adult standards
75,Temperature,Sean Paul,2005,125,60,95,-5,7,82,219,11,7,75,dance pop
76,Don't Look Back in Anger - Remastered,Oasis,1995,163,94,33,-3,15,33,290,7,6,73,britpop
77,Ophelia - Remastered 2000,The Band,1975,92,68,83,-7,33,95,213,68,3,61,album rock
78,You'll Never Walk Alone,Gerry & The Pacemakers,2017,114,43,45,-6,22,29,160,42,3,49,adult standards
79,The Ballad of Bonnie & Clyde,Georgie Fame,1968,107,47,71,-10,25,74,190,71,9,38,british blues
80,Let It Rock,Kevin Rudolf,2008,113,78,61,-4,7,44,231,0,4,65,dance pop
81,Barabajagal (with Jeff Beck Group),Donovan,1969,100,57,67,-17,8,68,200,10,7,42,art rock
82,I Love My Girl,The Hilltoppers,2011,123,45,74,-10,10,96,106,88,4,38,deep adult standards
83,Kids In America,Kim Wilde,1981,160,78,56,-4,12,31,206,10,5,68,dance pop
84,Sheila,Tommy Roe,1962,136,57,42,-9,6,48,127,28,11,42,adult standards
85,Baby Come Back,Player,2007,157,57,65,-11,12,56,214,5,11,59,soft rock
86,Heal the World,Michael Jackson,1991,81,49,53,-8,10,10,384,54,5,67,pop
87,I Wanna Love You,Akon,2006,100,45,87,-9,31,35,247,4,4,70,dance pop
88,Peppermint Twist Pt.1,Joey Dee,2019,199,73,42,-11,73,72,122,37,14,30,australian talent show
89,The Old Man's Back Again (Dedicated To The Neo-Stalinist Regime),Scott Walker,1969,91,45,42,-16,16,78,221,58,4,54,art pop
90,Forever Young,Alphaville,1984,137,48,49,-9,24,33,227,42,3,73,dance rock
91,Little Things Means A Lot,Jayne Mansfield,2008,109,29,70,-15,16,63,172,36,4,29,
92,Cooler Than Me - Single Mix,Mike Posner,2010,130,82,75,-5,69,65,213,15,6,60,dance pop
93,Bleeding Love,Leona Lewis,2007,104,65,64,-6,15,20,263,19,4,70,british soul
94,The Game Of Love,Wayne Fontana & The Mindbenders,1964,109,83,57,-4,19,96,127,9,3,43,british invasion
95,Everybody Wants To Rule The World,Tears For Fears,1985,112,80,65,-12,10,54,251,35,5,80,dance rock
96,16 Candles,Johnny Maestro,1993,114,31,60,-11,9,60,175,73,3,53,brill building pop
97,Puppy Love - Remix,Paul Anka,2000,102,41,29,-10,27,54,164,66,3,56,adult standards
98,Life in the Fast Lane - 2013 Remaster,Eagles,1976,110,76,67,-7,5,88,286,10,7,72,album rock
99,The Lady Is A Tramp,Mel Torme & the Mel-Tones,2016,138,60,41,-8,41,54,170,81,6,40,
100,Are You Ready For Love? - Remastered,Elton John,2017,117,75,80,-5,11,75,212,25,3,67,glam rock
101,King Of My Castle - Roy Malone's King Mix,Wamdue Project,2009,125,54,87,-9,6,76,299,4,8,55,disco house
102,Hurts So Good,John Mellencamp,1982,125,74,79,-5,11,97,219,4,4,69,album rock
103,Pictures of Matchstick Men - Mono Version,Status Quo,1968,173,60,24,-4,5,42,191,7,3,54,album rock
104,Only Because,The Platters,1957,73,28,55,-10,9,47,174,85,3,44,adult standards
105,Over Under Sideways Down - The Mono Album,The Yardbirds,1966,97,86,53,-11,31,39,143,29,8,46,album rock
106,She'd Rather Be With Me,The Turtles,1967,124,78,49,-11,15,94,142,27,3,46,brill building pop
107,Better Off Alone,Alice DJ,2000,137,82,67,-9,29,76,218,0,6,71,europop
108,Chicago - Remastered,Frank Sinatra,1958,148,46,51,-10,40,79,134,61,7,47,adult standards
109,Alors on danse,Stromae,2010,120,59,79,-9,7,71,206,10,8,73,belgian pop
110,Leave The World Behind - Radio Edit,Axwell,2009,128,85,53,-8,32,28,162,0,5,58,big room
111,Break Your Heart,Taio Cruz,2010,122,93,61,-4,9,57,202,3,3,71,dance pop
112,Bailando,Paradisio,1997,133,94,65,-9,12,84,229,8,4,58,bubblegum dance
113,Don't Stop,ATB,1999,134,94,71,-5,32,57,221,15,4,56,german dance
114,Boulder to Birmingham - Remastered,Emmylou Harris,1975,126,32,48,-11,10,31,213,78,3,59,country rock
115,Piu bella cosa,Eros Ramazzotti,2014,110,79,67,-5,11,62,265,8,3,58,italian pop
116,Uptown Girl,Billy Joel,1983,129,94,70,-3,60,79,198,7,5,77,album rock
117,Ca' the Yowes,Shirley & Dolly Collins,2008,80,7,32,-10,27,32,208,76,3,41,british folk
118,Halo,Beyonc̩,2008,80,72,51,-6,6,47,262,27,6,77,dance pop
119,L-O-V-E,Nat King Cole,1992,78,37,43,-8,8,66,155,68,8,68,adult standards
120,Sorry Seems To Be The Hardest Word,Elton John,1976,118,22,37,-13,20,11,229,83,3,62,glam rock
121,A Thousand Miles Away,The Temprees,1984,75,26,48,-15,28,30,199,39,3,39,classic soul
122,Walking in Memphis,Cher,1995,129,68,70,-7,17,53,235,59,3,66,dance pop
123,Arthur's Theme (Best That You Can Do),Christopher Cross,1981,137,52,53,-11,18,52,234,17,4,70,adult standards
124,Running Up That Hill (A Deal With God),Kate Bush,1985,108,55,63,-13,6,20,299,72,6,67,art pop
125,You To Me Are Everything,The Real Thing,1999,102,91,64,-8,8,82,210,23,10,62,brit funk
126,I Feel Love - Edit,Donna Summer,2018,126,91,66,-9,8,94,227,3,4,52,dance pop
127,Move On Up,Curtis Mayfield,1970,139,97,54,-6,12,93,166,42,9,66,chicago soul
128,Please Forgive Me,Bryan Adams,2005,67,46,53,-7,10,15,356,50,3,43,album rock
129,Lost in Music,Sister Sledge,1979,114,84,76,-8,10,85,287,5,3,58,dance pop
130,Broken Strings,James Morrison,2008,112,72,57,-5,8,32,250,1,3,70,neo mellow
